id	pid	title	authors	venue	source	year
50|doi_dedup___::8fd6574f332f77828d1f540d873fd569	10.1007/978-3-642-40050-6_7	Preserving Authenticity Evidence to Assess Provenance and Integrity of Digital Resources,Preserving Authenticity Evidence to Assess Provenance and Integrity of Digital Resources	Luigi Briguglio,Maria Guercio,Silvio Salza	\N	Crossref,Lecture Notes in Computer Science ISBN: 9783642400490,ECLAP	2013-01-01
50|doi_dedup___::9791d96bcddc05b929697f123c7ff116	10.1108/dta-10-2020-0253,10.13140/rg.2.2.29949.38886,11250/3014828,11250/2981009	An analysis of pollution Citizen Science projects from the perspective of Data Science and Open Science,An analysis of pollution Citizen Science projects from the perspective of Data Science and Open Science	Damiano Scandolari,Oscar Corcho,Gloria Re Calegari,Esteban Gonzalez,Neal Reeves,Elena Simperl,Dumitru Roman,R. Cedazo,Ahmet Soylu,Philip Turk,Irene Celino,Shady Abd El Kader	Data Technologies and Applications	Crossref,622-642,55,Data Technologies and Applications,5,27	2021-05-05
50|doi_________::608229dcb5fcec7eb9f35dbece4bc16c	10.1002/spe.3137	Valuating requirements arguments in the online user's forum for requirements decision‐making: The CrowdRE‐VArg framework	Javed Ali Khan,Affan Yasin,Rubia Fatima,Danish Vasan,Arif Ali Khan,Abdul Wahid Khan	Software: Practice and Experience	Crossref	2022-08-14
50|doi_dedup___::0b07c9c7279e293af4feff8f870205fe	10.1002/cpe.6925	Virtual research environments co‐creation: The D4Science experience	Massimiliano Assante,Leonardo Candela,Donatella Castelli,Roberto Cirillo,Gianpaolo Coro,Andrea Dell'Amico,Luca Frosini,Lucio Lelii,Marco Lettere,Francesco Mangiacrapa,Pasquale Pagano,Giancarlo Panichi,Tommaso Piccioli,Fabio Sinibaldi	Concurrency and Computation: Practice and Experience	Crossref,Concurrency and computation (Online) (2022). doi:10.1002/cpe.6925,info:cnr-pdr/source/autori:Assante M.; Candela L.; Castelli D.; Cirillo R.; Coro G.; Dell'Amico A.; Frosini L.; Lelii L.; Lettere M.; Mangiacrapa F.; Pagano P.; Panichi G.; Piccioli T.; Sinibaldi F./titolo:Virtual research environments co-creation: the D4Science experience/doi:10.1002%2Fcpe.6925/rivista:Concurrency and computation (Online)/anno:2022/pagina_da:/pagina_a:/intervallo_pagine:/volume:	2022-03-10
50|doi_dedup___::32ebde46194104a1f7cfad5524f4d1a6	10.1007/978-3-319-73165-0_3	A Software Architecture for Narratives,A Software Architecture for Narratives	Daniele Metilli,Filippo Benedetti,Valentina Bartalesi,Carlo Meghini	\N	Crossref,Communications in Computer and Information Science ISBN: 9783319731643,IRCDL,IRCDL 2018 - 14th Italian Research Conference on Digital Libraries, pp. 23–29, Udine, Italy, 25-26 January 2018,info:cnr-pdr/source/autori:Meghini C.; Bartalesi V.; Metilli D.; Benedetti F./congresso_nome:IRCDL 2018 - 14th Italian Research Conference on Digital Libraries/congresso_luogo:Udine, Italy/congresso_data:25-26 January 2018/anno:2018/pagina_da:23/pagina_a:29/intervallo_pagine:23–29	2017-12-21
50|doi_________::1e398977f116dc90b4617f71749808c9	10.1109/iraset48871.2020.9092293	Towards well-founded extractions for large information diffusion on social networks,Towards well-founded extractions for large information diffusion on social networks	Zineb Rachik,Sara Abas,Malika Addou	2020 1st International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)	Crossref	2020-04-01
50|doi_________::4a9fc3af73c0e2faaa17ac879cb50b0f	10.1007/978-3-031-16802-4_50	Holistic Graph-Based Representation and AI for Digital Library Management	Stefano Ferilli	\N	Crossref,Linking Theory and Practice of Digital Libraries ISBN: 9783031168017	2022-01-01
50|doi_________::3ef55bb45557ddd0cf829679798dbe1d	10.1007/s11042-020-10176-1	Extractive multi-document text summarization using dolphin swarm optimization approach,Extractive multi-document text summarization using dolphin swarm optimization approach	Alok Agarwal,Dhiraj Pandey,Atul Kumar Srivastava,Atul Kumar Srivastava	Multimedia Tools and Applications	Crossref	2021-01-06
50|doi_________::47a8a2ca807354ad700e5d3c9bc76687	10.1108/jd-06-2018-0089	Building a bibliographic hierarchy for manga through the aggregation of institutional and hobbyist descriptions,Building a bibliographic hierarchy for manga through the aggregation of institutional and hobbyist descriptions	Senan Kiryakos,Shigeo Sugimoto	Journal of Documentation	Crossref	2019-03-06
50|doi_________::ed1564b0601c23f881a96fcd1e1c72e4	10.1007/978-981-13-2348-5_27	Keyword Extraction Using Graph Centrality and WordNet,Keyword Extraction Using Graph Centrality and WordNet	Chhavi Sharma,Ayush Aggarwal,Minni Jain	\N	Crossref,Towards Extensible and Adaptable Methods in Computing ISBN: 9789811323478	2018-01-01
50|doi_dedup___::45adcca4716952d4c86fd7aea216e008	10.1007/s12145-020-00441-0,10.5194/egusphere-egu2020-8638	Managing collaborative research data for integrated, interdisciplinary environmental research,Managing collaborative research data for integrated, interdisciplinary environmental research	Thilo Streck,Tobias K. D. Weber,Hermann Rügner,Karsten Osenbrück,Thomas Walter,Carsten Leven,Albrecht Baur,Marc Schwientek,Johanna Schlögl,Ulrich Hahn,Michael Finkel,Peter Grathwohl,Olaf A. Cirpka	Earth Science Informatics	Crossref	2020-01-16
50|doi_dedup___::d9ca5553db50609aaf88ecf66e15b072	10.1109/hpcc-dss-smartcity-dependsys53884.2021.00319,11380/1281838	Invited Speech: Data Analytics and (Interpretable) Machine Learning for Social Good	Riccardo Martoglia	2021 IEEE 23rd Int Conf on High Performance Computing &amp; Communications; 7th Int Conf on Data Science &amp; Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud &amp; Big Data Systems &amp; Application (HPCC/DSS/SmartCity/DependSys)	Crossref	2021-12-01
50|doi_________::0fb89b4d295215900d4e57a846ceb297	10.1007/978-3-030-57855-8_14	Conceptual Reasoning for Generating Automated Psychotherapeutic Responses,Conceptual Reasoning for Generating Automated Psychotherapeutic Responses	Pyara Dhillon,Graham Mann,Beena Kishore	\N	Crossref,Ontologies and Concepts in Mind and Machine ISBN: 9783030578541,ICCS	2020-01-01
50|doi_________::03f630dd25e7b259aa9db6493ee7f94a	10.1142/s0219467822500346	Detection and Correction of Multi-Warping Document Image,Detection and Correction of Multi-Warping Document Image	Marian Wagdy,Mina Ibrahim,Khaild Amin	International Journal of Image and Graphics	Crossref	2021-07-30
50|doi_________::075db0afe51ab6745525b1d26aefc826	10.1007/978-3-030-66527-2_2	How to Improve Optical Character Recognition of Historical Finnish Newspapers Using Open Source Tesseract OCR Engine – Final Notes on Development and Evaluation,How to Improve Optical Character Recognition of Historical Finnish Newspapers Using Open Source Tesseract OCR Engine – Final Notes on Development and Evaluation	Jukka Kervinen,Mika Koistinen,Kimmo Kettunen	\N	Crossref,Human Language Technology. Challenges for Computer Science and Linguistics ISBN: 9783030665265,LCT	2020-01-01
50|doi_________::6b9cf0e9231d0e32e1c32c8cc0eeadf8	10.1109/access.2020.2967792	News Recommendation Systems - Accomplishments, Challenges & Future Directions,News Recommendation Systems - Accomplishments, Challenges &amp; Future Directions	Arif Ur Rahman,Chong Feng,Muzammil Khan,Arshad Ahmad	IEEE Access	Crossref	2020-01-01
50|doi_________::7e8f22327a77e42157c4d2e829fe5489	10.18653/v1/2021.sdp-1.6	Keyphrase Extraction from Scientific Articles via Extractive Summarization,Keyphrase Extraction from Scientific Articles via Extractive Summarization	Chrysovalantis Giorgos Kontoulis,Eirini Papagiannopoulou,Grigorios Tsoumakas	Proceedings of the Second Workshop on Scholarly Document Processing	Crossref	2021-01-01
50|doi_dedup___::aa5e64259437783853608a695cdffdfe	10.1145/2532508.2532512	a quantitative literature survey,Research paper recommender system evaluation: a quantitative literature survey,Research paper recommender system evaluation	Stefan Langer,Marcel Genzmehr,Bela Gipp,Joeran Beel,Andreas Nürnberger,Corinna Breitinger	Proceedings of the International Workshop on Reproducibility and Replication in Recommender Systems Evaluation	Crossref,RepSys@RecSys	2013-10-12
50|doi_dedup___::c097f90ae68932244748b6c4e97db599	10.1007/978-3-642-34234-9_70	The CULTURA project: supporting next generation interaction with digital cultural heritage collections,The CULTURA Project: Supporting Next Generation Interaction with Digital Cultural Heritage Collections	Eoin Bailey,Séamus Lawless,Nicola Orio,Cormac Hampson,Maristella Agosti,Owen Conlan,Vincent Wade	\N	Crossref,Progress in Cultural Heritage Preservation ISBN: 9783642342332,EuroMed,Università degli Studi di Padova - IRIS	2012-01-01
50|doi_________::aa129e3cfac50b65e200ede5d24bb608	10.1016/j.culher.2021.08.015	Discovering artistic influences of painters from expressionism, impressionism, and surrealism art movements using convolutional neural network,Discovering artistic influences of painters from expressionism, impressionism, and surrealism art movements using convolutional neural network	Mark Jeremy Gacias Narag,Maricor Soriano	Journal of Cultural Heritage	Crossref	2021-09-01
50|doi_dedup___::17c4f151fd151adb800a5d53ebc2f0f7	10.1007/978-3-319-14226-5_25,10.1007/978-3-319-08425-1_25	Sustainability: An Unintended Consequence of the Integration of Digital Curation Core Competencies into the MLIS Curricula,Sustainability: An Unintended Consequence of the Integration of Digital Curation Core Competencies into the MLIS Curricula	Patricia C. Franks	\N	Crossref,Communications in Computer and Information Science ISBN: 9783319084244,TPDL Workshops	2014-01-01
50|doi_dedup___::dc96f96ea3be249a9644c174f0c8d0e0	10.1016/j.procs.2014.10.011	Ranking Sentences for Keyphrase Extraction: A Relational Data Mining Approach☆,Ranking Sentences for Keyphrase Extraction: A Relational Data Mining Approach	Lucrezia Macchia,Michelangelo Ceci,Corrado Loglisci	Procedia Computer Science	Crossref,IRCDL	2014-01-01
50|doi_________::42a63dba18ec9766a4dda949e88ebbea	10.1007/s00799-021-00301-2	Hidden features identification for designing an efficient research article recommendation system,Hidden features identification for designing an efficient research article recommendation system	Arpita Chaudhuri,Nilanjan Sinhababu,Debasis Samanta,Monalisa Sarma	International Journal on Digital Libraries	Crossref	2021-04-30
50|doi_dedup___::fef140f98b718b19d08ed0eb152429b9	10.1007/s00799-023-00358-1,37361128,PMC10170051	DETEXA: declarative extensible text exploration and analysis through SQL	Yannis Foufoulas,Eleni Zacharia,Harry Dimitropoulos,Natalia Manola,Yannis Ioannidis	International Journal on Digital Libraries	Crossref	2023-05-10
50|doi_________::c8f5b383716941f7ac70139eed53d6d6	10.1587/transinf.2020bdp0007	Extracting Knowledge Entities from Sci-Tech Intelligence Resources Based on BiLSTM and Conditional Random Field,Extracting Knowledge Entities from Sci-Tech Intelligence Resources Based on BiLSTM and Conditional Random Field	Yu Wang,Weizhi Liao,Mingtong Huang,Pan Ma	IEICE Transactions on Information and Systems	Crossref	2021-08-01
50|doi_________::bcd5d13293b08339b2a6bd8d7f107d9d	10.14778/3547305.3547328	"you extend SQL" with rich and highly performant user-defined functions in relational databases,YeSQL	Yannis Foufoulas,Alkis Simitsis,Lefteris Stamatogiannakis,Yannis Ioannidis	Proceedings of the VLDB Endowment	Crossref	2022-06-01
50|doi_dedup___::1682a9986f1e61468c4cb9c593ca823c	10.1016/j.procs.2014.10.002	The Sapienza Digital Library from the Holistic Vision to the Actual Implementation,The Sapienza Digital Library from the Holistic Vision to the Actual Implementation	Marco Schaerf,Angela Di Iorio,Tiziana Catarci	Procedia Computer Science	Crossref,IRCDL	2014-01-01
50|doi_dedup___::e4574c75600e97bb78eab0b7eddc06bf	10.1109/fie.2016.7757660	Guidelines to producing structured interoperable data from Open Access Repositories,Guidelines to producing structured interoperable data from Open Access Repositories	Jorge Lopez-Vargas,Edmundo Tovar Caro,Janneth Chicaiza,Nelson Piedra	2016 IEEE Frontiers in Education Conference (FIE)	Crossref,FIE,reponame:Repositorio Universidad Técnica Particular de Loja,instname:Universidad Técnica Particular de Loja,instacron:UTPL	2016-10-01
50|doi_dedup___::b79359cd3d8419f586909edeb05f0673	10.18352/lq.10322	Ground Truth OCR Sample Data of Finnish Historical Newspapers and Journals in Data Improvement Validation of a re-OCRing Process,Ground Truth OCR Sample Data of Finnish Historical Newspapers and Journals in Data Improvement Validation of a re-OCRing Process	Jukka Kervinen,Kimmo Kettunen,Mika Koistinen	LIBER Quarterly	Crossref,Liber Quarterly: The Journal of European Research Libraries, Vol 30, Iss 1 (2020)	2020-02-04
50|doi_dedup___::eed26c51ef56687368e6217cdf1fd474	10.1007/s00799-022-00343-0,36540865,PMC9755763	Design, realization, and user evaluation of the ARCA system for exploring a digital library	Eleonora Bernasconi,Miguel Ceriani,Massimo Mecella,Tiziana Catarci	International Journal on Digital Libraries	Crossref	2022-12-16
50|doi_________::7a0ca1e4e9ca9bdb9d5c22d7e69a1626	10.1109/inciscos.2017.17	Methodological Guidelines for Publishing Library Data as Linked Data,Methodological Guidelines for Publishing Library Data as Linked Data	Amed Leiva-Mederos,Yusniel Hidalgo-Delgado,Reina Estrada-Nelson,Andrés Tello,Bin Xu,Boris Villazon-Terrazas	2017 International Conference on Information Systems and Computer Science (INCISCOS)	Crossref	2017-11-01
50|doi_________::272edf318a0f8d4755a18666134b50bf	10.1007/978-3-319-73165-0_18	Bidirectional LSTM Recurrent Neural Network for Keyphrase Extraction,Bidirectional LSTM Recurrent Neural Network for Keyphrase Extraction	Giuseppe Serra,Carlo Tasso,Marco Basaldella,Elisa Antolli	\N	Crossref,Communications in Computer and Information Science ISBN: 9783319731643,IRCDL	2017-12-21
50|doi_________::8c62f66c15204fb7a60da19b1e93d103	10.5120/ijca2021921155	Progress in Deep Learning Mechanisms for Information Extraction from Social Networks: An Expository Overview,Progress in Deep Learning Mechanisms for Information Extraction Social Networks: An Expository Overview	Israel Fianyi,Gifty Andoh Appiah	International Journal of Computer Applications	Crossref	2021-03-18
50|doi_________::8c26d0dbcc3ff71811763b1dce500c45	10.1016/j.knosys.2021.107621	Method and dataset entity mining in scientific literature: A CNN + BiLSTM model with self-attention,Method and dataset entity mining in scientific literature: A CNN + BiLSTM model with self-attention	Zhao Li,Rujing Yao,Jianliang Gao,Yingchun Ye,Linlin Hou,Ji Zhang,Ting Yu,Ou Wu,Zhen Wang	Knowledge-Based Systems	Crossref	2022-01-01
50|doi_________::359c174364ee94e02bd06fed29436b01	10.1007/s00521-021-06100-9	Ensemble application of bidirectional LSTM and GRU for aspect category detection with imbalanced data,Ensemble application of bidirectional LSTM and GRU for aspect category detection with imbalanced data	J. Ashok Kumar,S. Abirami	Neural Computing and Applications	Crossref	2021-05-12
50|doi_________::a0384ae903010a355cc06ad5f4733f95	10.1002/widm.1407	Table understanding approaches for extracting knowledge from heterogeneous tables,Table understanding approaches for extracting knowledge from heterogeneous tables	Marco Mesiti,Elena Casiraghi,Sara Bonfitto	WIREs Data Mining and Knowledge Discovery	Crossref	2021-03-28
50|doi_dedup___::5a6c4820e5f1516078ab554de9439d96	10.1016/j.procs.2014.10.009	Measuring Syntactic Distances between Dialects: A Web Application for Annotating Dialectal Data,Measuring Syntactic Distances between Dialects: A Web Application for Annotating Dialectal Data	Giorgio Maria Di Nunzio,Gianmaria Silvello,Emanuele Di Buccio	Procedia Computer Science	Crossref,IRCDL	2014-01-01
50|doi_________::257486b151c5ad996e1da70219539c52	10.1016/j.jksuci.2022.11.015	An attention-based hybrid deep learning approach for bengali video captioning	Md. Shahir Zaoad,M.M. Rushadul Mannan,Angshu Bikash Mandol,Mostafizur Rahman,Md. Adnanul Islam,Md. Mahbubur Rahman	Journal of King Saud University - Computer and Information Sciences	Crossref	2023-01-01
50|doi_dedup___::bbae11a0cdc059f52be77c520c630ab3	10.1080/2573234x.2021.1908861,10.48550/arxiv.2104.08885,2104.08885	A survey of image labelling for computer vision applications,A survey of image labelling for computer vision applications	Christoph Sager,Christian Janiesch,Patrick Zschech	Journal of Business Analytics	Crossref,BASE - Bielefeld Academic Search Engine	2021-04-18
50|doi_________::ec9b688a8d0b5a5be5f63c82daab756e	10.1109/ism.2016.0061	Robust and Efficient Video Scene Detection Using Optimal Sequential Grouping,Robust and Efficient Video Scene Detection Using Optimal Sequential Grouping	Dror Porat,Gal Ashour,Daniel Rotman	2016 IEEE International Symposium on Multimedia (ISM)	Crossref,ISM	2016-12-01
50|doi_________::a4fa421491f15770b5926600dae07bb2	10.1287/ijoc.2023.1283	A Bayesian Semisupervised Approach to Keyword Extraction with Only Positive and Unlabeled Data	Guanshen Wang,Yichen Cheng,Yusen Xia,Qiang Ling,Xinlei Wang	INFORMS Journal on Computing	Crossref	2023-05-01
50|doi_________::bf8870803c03da545c614adb35e77f1a	10.1109/morgeo49228.2020.9121913	Social network information analysis for extraction of concept success rate within a geographic location,Social network information analysis for extraction of concept success rate within a geographic location	Zineb Rachik,Sara Abas,Malika Addou	2020 IEEE International conference of Moroccan Geomatics (Morgeo)	Crossref	2020-05-01
50|doi_dedup___::9d647ce55dee7858c3776eee4f35b3ad	10.1007/978-3-319-73165-0_12,11380/1155902	Annote: A Serious Game for Medical Students to Approach Lesion Skin Images of a Digital Library,Annote: A Serious Game for Medical Students to Approach Lesion Skin Images of a Digital Library	Fabrizio Balducci	\N	Crossref,Communications in Computer and Information Science ISBN: 9783319731643,IRCDL	2017-12-21
50|doi_dedup___::6f3826eb4582e06e171bc51e266ace4c	10.1145/3284869.3284871,11380/1169296	A Cloud Platform and Integrated Services for Cultural Heritage and for Restoration,SACHER Project: A Cloud Platform and Integrated Services for Cultural Heritage and for Restoration,SACHER Project	Costantino Grana,Silvia Bertacchi,Fabrizio Ivan Apollonio,Giuseppe Martuscelli,Rebecca Montanari,Luca Foschini,Michele Cancilla,Gianna Bertacchi,Isam Mashhour Al Jawarneh	Proceedings of the 4th EAI International Conference on Smart Objects and Technologies for Social Good	Crossref,GOODTECHS	2018-11-28
50|doi_dedup___::785b2cbd4172a1bb4d8d7a7d7a7f310f	10.1002/cpe.5986	NLPHub: An e‐Infrastructure‐based text mining hub,NLPHub: An e‐Infrastructure‐based text mining hub	Giancarlo Panichi,Gianpaolo Coro,Erico Perrone,Pasquale Pagano	Concurrency and Computation: Practice and Experience	Crossref,Concurrency and computation (Online) (2020): e5986. doi:10.1002/cpe.5986,info:cnr-pdr/source/autori:Coro G.; Panichi G.; Pagano P.; Perrone E./titolo:NLPHub: an e-Infrastructure-based text mining hub/doi:10.1002%2Fcpe.5986/rivista:Concurrency and computation (Online)/anno:2020/pagina_da:/pagina_a:e5986/intervallo_pagine:e5986/volume:	2020-09-09
50|doi_________::5af7c8d5517c6f695ce40529266c7a7d	10.1109/tetc.2018.2830698	VOPRec: Vector Representation Learning of Papers with Text Information and Structural Identity for Recommendation,VOPRec: Vector Representation Learning of Papers with Text Information and Structural Identity for Recommendation	Xiangjie Kong,Mengyi Mao,Bo Xu,Wei Wang,Jiaying Liu	IEEE Transactions on Emerging Topics in Computing	Crossref	2021-01-01
50|doi_dedup___::71bdfa1685f2e52500106cd54358bc35	10.1007/s00799-018-0245-y	Promoting user engagement with digital cultural heritage collections,Promoting user engagement with digital cultural heritage collections	Maristella Agosti,Nicola Orio,Chiara Ponchia	International Journal on Digital Libraries	Crossref	2018-06-11
50|doi_________::0f37baadfa7488d6f6f50b42b215ed7a	10.1109/isetc.2016.7781123	Video retrieval using relevant topics extraction from movie subtitles,Video retrieval using relevant topics extraction from movie subtitles	Ruxandra Tapu,Bogdan Mocanu,Ermina Tapu	2016 12th IEEE International Symposium on Electronics and Telecommunications (ISETC)	Crossref	2016-10-01
50|doi_dedup___::b48bf10bd53a94df7dec5ae50c30dd49	10.1007/978-3-030-49570-1_26	Characterizing Social Bots Spreading Financial Disinformation,Characterizing Social Bots Spreading Financial Disinformation	Serena Tardelli,Stefano Cresci,Marco Avvenuti,Maurizio Tesconi	\N	Crossref,Social Computing and Social Media. Design, Ethics, User Behavior, and Social Network Analysis ISBN: 9783030495695,HCI (14),Lecture Notes in Computer Science,issn: 0302-9743,eissn: 1611-3349,isbn: 978-3-030-49569-5,eisbn: 978-3-030-49570-1,Lecture Notes in Computer Science - Social Computing and Social Media. Design, Ethics, User Behavior, and Social Network Analysis,The 20th International Conference on Social Computing and Social Media (SCSM'20), Copenaghen, Denmark, 19-24/07/2020,info:cnr-pdr/source/autori:S. Tardelli (1); S. Cresci (1); M. Tesconi (1); M. Avvenuti (2);/congresso_nome:The 20th International Conference on Social Computing and Social Media (SCSM'20)/congresso_luogo:Copenaghen, Denmark/congresso_data:19-24%2F07%2F2020/anno:2020/pagina_da:/pagina_a:/intervallo_pagine:,Social Computing and Social Media. Design, Ethics, User Behavior, and Social Network Analysis - 12th International Conference, SCSM 2020, Held as Part of the 22nd HCI International Conference, HCII 2020, Copenhagen, Denmark, July 19–24, 2020, Proceedings, Part I	2020-01-01
50|doi_________::b44b36f4437a2213ed681758a33b5b61	10.21105/joss.05459	Olaf: a lightweight, portable audio search system	Joren Six	Journal of Open Source Software	Crossref	2023-07-03
50|doi_________::de5e6ae0c3bbf8b6bd45af3cbb0e3bf6	10.1007/978-3-030-98876-0_22	Scholarly Artifacts Knowledge Graph: Use Cases for Digital Libraries	Fidan Limani,Atif Latif,Klaus Tochtermann	\N	Crossref,Metadata and Semantic Research ISBN: 9783030988753	2022-01-01
50|doi_dedup___::19ceef8ecd04c59a14feaf81689ee6cb	10.1145/3470786,11380/1277318	A Predictive Method to Improve the Effectiveness of Twitter Communication in a Cultural Heritage Scenario	Marco Furini,Federica Mandreoli,Riccardo Martoglia,Manuela Montangero	Journal on Computing and Cultural Heritage	Crossref	2022-04-07
50|doi_dedup___::86a805736964b66a7898fa7203ad2207	10.1609/aimag.v36i1.2567	Early Steps Towards Web Scale Information Extraction with LODIE,Early Steps Toward Web‐Scale Information Extraction with LODIE	Fabio Ciravegna,Ziqi Zhang,Anna Lisa Gentile	AI Magazine	Crossref,AI Magazine; Vol 36, No 1: Spring 2015; 55-64,0738-4602	2015-03-01
50|doi_________::0b6788330f80851f331c3c08c86a811e	10.1109/cist49399.2021.9357197	TermInteract: An Online Tool for Terminologists Aimed at Providing Terminology Quality Metrics,TermInteract: An Online Tool for Terminologists Aimed at Providing Terminology Quality Metrics	Lucia Guasp,Pedro Hernandez-Vegas,Mariano Rico	2020 6th IEEE Congress on Information Science and Technology (CiSt)	Crossref,CIST	2020-06-05
50|doi_________::f183b27ab1b886c261d1e51fe5716c90	10.2200/s00775ed1v01y201704icr058	Digital Libraries for Cultural Heritage: Development, Outcomes, and Challenges from European Perspectives	Tatjana Aparac-Jelušić	Synthesis Lectures on Information Concepts, Retrieval, and Services	Crossref	2017-06-26
50|doi_dedup___::3961a7497336006e8a048e081936926b	10.1007/978-3-030-86198-8_12	Accurate Graphic Symbol Detection in Ancient Document Digital Reproductions,Accurate Graphic Symbol Detection in Ancient Document Digital Reproductions	Antonella Ghignoli,Francesco Leotta,Eleonora Bernasconi,Zahra Ziran,Massimo Mecella	\N	Crossref,Document Analysis and Recognition – ICDAR 2021 Workshops ISBN: 9783030861971,ICDAR Workshops (1),Lecture Notes in Computer Science,issn: 0302-9743,eissn: 1611-3349,isbn: 978-3-030-86197-1,eisbn: 978-3-030-86198-8,Lecture Notes in Computer Science - Document Analysis and Recognition – ICDAR 2021 Workshops	2021-01-01
